"High quality tetracycline antibiotic oxytetracycline hcl","0.001","0.01","1","Kilogram","0.01","http://www.alibaba.com/product-detail/High-quality-tetracycline-antibiotic-oxytetracycline-hcl_1639277802.html","China (Mainland)","Shaanxi TOP Pharm Chemical Co., Ltd.","http___i00.i.aliimg.com_photo_v0_1639277802_High_quality_tetracycline_antibiotic_oxytetracycline_hcl.jpg"
"On sale!!! Noopept High quality manufacture Lowest price Noopept Powder 157115-85-0: noopept","350","380","0.001","Kilograms","0.38","http://www.alibaba.com/product-detail/On-sale-Noopept-High-quality-manufacture_2004696270.html","China (Mainland)","Beijing Packbuy M&C Co., Ltd.","http___i00.i.aliimg.com_photo_v7_2004696270_On_sale_Noopept_High_quality_manufacture_Lowest.jpg"
"high quality Oxytetracycline HCL","1","1000","1","Kilogram","1000.0","http://www.alibaba.com/product-detail/high-quality-Oxytetracycline-HCL_1052981465.html","China (Mainland)","Xian Shunyi Bio-Chemical Technology Co., Ltd.","http___i01.i.aliimg.com_photo_v0_1052981465_high_quality_Oxytetracycline_HCL.jpg"
"Chromium picolinate of Top quality/Best manufacturer","1","2","1","Kilogram","2.0","http://www.alibaba.com/product-detail/Chromium-picolinate-of-Top-quality-Best_1048870770.html","China (Mainland)","Jinan Xukang Biotechnology Co., Ltd.","http___i00.i.aliimg.com_photo_v0_1048870770_1_Chromium_picolinate_of_Top_quality_Best_manufacturer.jpg"
"albendazole API--Factory quality and price","10","20","1","Kilogram","20.0","http://www.alibaba.com/product-detail/albendazole-API-Factory-quality-and-price_661850632.html","China (Mainland)","Shangqiu Kangmeida Bio-Technology Co., Ltd.","http___i00.i.aliimg.com_photo_v1_661850632_albendazole_API_Factory_quality_and_price.jpg"
"High quality 99% DL-Phenylalanine CAS#150-30-1","1","100","1","Kilogram","100.0","http://www.alibaba.com/product-detail/High-quality-99-DL-Phenylalanine-CAS_697978867.html","China (Mainland)","Orchid Chemical Supplies Ltd.","http___i01.i.aliimg.com_photo_v52_697978867_High_quality_99_DL_Phenylalanine_CAS_150.jpg"
"High quality CLA (Conjugated Linoleic Acid) softgel/CLA Powder/ CLA softgel","14","20","25","Kilograms","500.0","http://www.alibaba.com/product-detail/High-quality-CLA-Conjugated-Linoleic-Acid_572798493.html","China (Mainland)","Shanghai Passiono International Co., Ltd.","http___i01.i.aliimg.com_photo_v6_572798493_High_quality_CLA_Conjugated_Linoleic_Acid_softgel.jpg"
"factory direct sales good quality & price chemical pharmaceutical meropenem for injection 1.0g & 0.5g / vial","350","400","100","Kilograms","40000.0","http://www.alibaba.com/product-detail/factory-direct-sales-good-quality-price_1975390287.html","China (Mainland)","Xinxiang Haibin Pharmaceutical Co., Ltd.","http___i01.i.aliimg.com_photo_v1_1975390287_factory_direct_sales_good_quality_price_chemical.jpg"
"Vinpocetine high quality 99% powder","1600","1650","1","Kilogram","1650.0","http://www.alibaba.com/product-detail/Vinpocetine-high-quality-99-powder_1228142918.html","China (Mainland)","Wuxi Sigma Chemical Product Co., Ltd.","http___i00.i.aliimg.com_photo_v49_1228142918_Vinpocetine_high_quality_99_powder.jpg"
"High quality Hyaluronic acid","200","600","1","Kilogram","600.0","http://www.alibaba.com/product-detail/High-quality-Hyaluronic-acid_1604753731.html","China (Mainland)","Qingdao ZK Biotechnology Co., Ltd.","http___i01.i.aliimg.com_photo_v2_1604753731_High_quality_Hyaluronic_acid.jpg"
